0: output to qwalk.linear.o
Could not open qwalk.linear.config. Generating configurations from scratch
407: Timestep is 1.78867
764: Timestep is 1.78867
843: Timestep is 1.78867
253: Timestep is 1.78867
322: Timestep is 1.78867
783: Timestep is 1.78867
257: Timestep is 1.78867
524: Timestep is 1.78867
1022: Timestep is 1.78867
695: Timestep is 1.78867
131: Timestep is 1.78867
451: Timestep is 1.78867
623: Timestep is 1.78867
14: Timestep is 1.78867
69: Timestep is 1.78867
898: Timestep is 1.78867
408: Timestep is 1.78867
766: Timestep is 1.78867
846: Timestep is 1.78867
254: Timestep is 1.78867
324: Timestep is 1.78867
784: Timestep is 1.78867
258: Timestep is 1.78867
525: Timestep is 1.78867
962: Timestep is 1.78867
696: Timestep is 1.78867
133: Timestep is 1.78867
452: Timestep is 1.78867
624: Timestep is 1.78867
16: Timestep is 1.78867
70: Timestep is 1.78867
899: Timestep is 1.78867
409: Timestep is 1.78867
704: Timestep is 1.78867
847: Timestep is 1.78867
192: Timestep is 1.78867
326: Timestep is 1.78867
785: Timestep is 1.78867
259: Timestep is 1.78867
526: Timestep is 1.78867
963: Timestep is 1.78867
699: Timestep is 1.78867
134: Timestep is 1.78867
453: Timestep is 1.78867
625: Timestep is 1.78867
17: Timestep is 1.78867
72: Timestep is 1.78867
900: Timestep is 1.78867
410: Timestep is 1.78867
705: Timestep is 1.78867
848: Timestep is 1.78867
194: Timestep is 1.78867
327: Timestep is 1.78867
786: Timestep is 1.78867
261: Timestep is 1.78867
527: Timestep is 1.78867
965: Timestep is 1.78867
700: Timestep is 1.78867
136: Timestep is 1.78867
454: Timestep is 1.78867
626: Timestep is 1.78867
18: Timestep is 1.78867
73: Timestep is 1.78867
903: Timestep is 1.78867
411: Timestep is 1.78867
706: Timestep is 1.78867
849: Timestep is 1.78867
196: Timestep is 1.78867
328: Timestep is 1.78867
787: Timestep is 1.78867
263: Timestep is 1.78867
528: Timestep is 1.78867
966: Timestep is 1.78867
701: Timestep is 1.78867
137: Timestep is 1.78867
455: Timestep is 1.78867
628: Timestep is 1.78867
19: Timestep is 1.78867
76: Timestep is 1.78867
904: Timestep is 1.78867
412: Timestep is 1.78867
707: Timestep is 1.78867
851: Timestep is 1.78867
200: Timestep is 1.78867
329: Timestep is 1.78867
788: Timestep is 1.78867
264: Timestep is 1.78867
529: Timestep is 1.78867
969: Timestep is 1.78867
702: Timestep is 1.78867
138: Timestep is 1.78867
456: Timestep is 1.78867
631: Timestep is 1.78867
20: Timestep is 1.78867
77: Timestep is 1.78867
905: Timestep is 1.78867
413: Timestep is 1.78867
708: Timestep is 1.78867
853: Timestep is 1.78867
201: Timestep is 1.78867
332: Timestep is 1.78867
789: Timestep is 1.78867
265: Timestep is 1.78867
530: Timestep is 1.78867
970: Timestep is 1.78867
640: Timestep is 1.78867
139: Timestep is 1.78867
458: Timestep is 1.78867
632: Timestep is 1.78867
21: Timestep is 1.78867
78: Timestep is 1.78867
907: Timestep is 1.78867
414: Timestep is 1.78867
709: Timestep is 1.78867
854: Timestep is 1.78867
202: Timestep is 1.78867
333: Timestep is 1.78867
790: Timestep is 1.78867
266: Timestep is 1.78867
531: Timestep is 1.78867
971: Timestep is 1.78867
641: Timestep is 1.78867
140: Timestep is 1.78867
459: Timestep is 1.78867
634: Timestep is 1.78867
22: Timestep is 1.78867
79: Timestep is 1.78867
908: Timestep is 1.78867
415: Timestep is 1.78867
710: Timestep is 1.78867
855: Timestep is 1.78867
203: Timestep is 1.78867
334: Timestep is 1.78867
793: Timestep is 1.78867
267: Timestep is 1.78867
533: Timestep is 1.78867
973: Timestep is 1.78867
643: Timestep is 1.78867
141: Timestep is 1.78867
461: Timestep is 1.78867
635: Timestep is 1.78867
23: Timestep is 1.78867
80: Timestep is 1.78867
909: Timestep is 1.78867
416: Timestep is 1.78867
715: Timestep is 1.78867
857: Timestep is 1.78867
204: Timestep is 1.78867
337: Timestep is 1.78867
795: Timestep is 1.78867
269: Timestep is 1.78867
534: Timestep is 1.78867
974: Timestep is 1.78867
645: Timestep is 1.78867
142: Timestep is 1.78867
462: Timestep is 1.78867
636: Timestep is 1.78867
24: Timestep is 1.78867
81: Timestep is 1.78867
910: Timestep is 1.78867
417: Timestep is 1.78867
716: Timestep is 1.78867
858: Timestep is 1.78867
205: Timestep is 1.78867
339: Timestep is 1.78867
796: Timestep is 1.78867
275: Timestep is 1.78867
536: Timestep is 1.78867
976: Timestep is 1.78867
647: Timestep is 1.78867
145: Timestep is 1.78867
463: Timestep is 1.78867
637: Timestep is 1.78867
25: Timestep is 1.78867
82: Timestep is 1.78867
911: Timestep is 1.78867
418: Timestep is 1.78867
717: Timestep is 1.78867
859: Timestep is 1.78867
206: Timestep is 1.78867
340: Timestep is 1.78867
797: Timestep is 1.78867
276: Timestep is 1.78867
537: Timestep is 1.78867
978: Timestep is 1.78867
649: Timestep is 1.78867
146: Timestep is 1.78867
466: Timestep is 1.78867
578: Timestep is 1.78867
26: Timestep is 1.78867
86: Timestep is 1.78867
912: Timestep is 1.78867
419: Timestep is 1.78867
718: Timestep is 1.78867
861: Timestep is 1.78867
208: Timestep is 1.78867
342: Timestep is 1.78867
798: Timestep is 1.78867
277: Timestep is 1.78867
538: Timestep is 1.78867
981: Timestep is 1.78867
650: Timestep is 1.78867
147: Timestep is 1.78867
467: Timestep is 1.78867
581: Timestep is 1.78867
27: Timestep is 1.78867
91: Timestep is 1.78867
914: Timestep is 1.78867
420: Timestep is 1.78867
719: Timestep is 1.78867
862: Timestep is 1.78867
209: Timestep is 1.78867
344: Timestep is 1.78867
800: Timestep is 1.78867
278: Timestep is 1.78867
540: Timestep is 1.78867
982: Timestep is 1.78867
651: Timestep is 1.78867
148: Timestep is 1.78867
471: Timestep is 1.78867
582: Timestep is 1.78867
29: Timestep is 1.78867
92: Timestep is 1.78867
915: Timestep is 1.78867
421: Timestep is 1.78867
722: Timestep is 1.78867
863: Timestep is 1.78867
214: Timestep is 1.78867
346: Timestep is 1.78867
801: Timestep is 1.78867
279: Timestep is 1.78867
543: Timestep is 1.78867
983: Timestep is 1.78867
654: Timestep is 1.78867
149: Timestep is 1.78867
472: Timestep is 1.78867
583: Timestep is 1.78867
30: Timestep is 1.78867
93: Timestep is 1.78867
916: Timestep is 1.78867
422: Timestep is 1.78867
726: Timestep is 1.78867
864: Timestep is 1.78867
215: Timestep is 1.78867
347: Timestep is 1.78867
802: Timestep is 1.78867
280: Timestep is 1.78867
544: Timestep is 1.78867
984: Timestep is 1.78867
660: Timestep is 1.78867
150: Timestep is 1.78867
473: Timestep is 1.78867
585: Timestep is 1.78867
31: Timestep is 1.78867
94: Timestep is 1.78867
918: Timestep is 1.78867
423: Timestep is 1.78867
729: Timestep is 1.78867
865: Timestep is 1.78867
217: Timestep is 1.78867
348: Timestep is 1.78867
803: Timestep is 1.78867
281: Timestep is 1.78867
545: Timestep is 1.78867
986: Timestep is 1.78867
661: Timestep is 1.78867
151: Timestep is 1.78867
478: Timestep is 1.78867
587: Timestep is 1.78867
32: Timestep is 1.78867
95: Timestep is 1.78867
921: Timestep is 1.78867
424: Timestep is 1.78867
730: Timestep is 1.78867
866: Timestep is 1.78867
219: Timestep is 1.78867
350: Timestep is 1.78867
804: Timestep is 1.78867
284: Timestep is 1.78867
546: Timestep is 1.78867
987: Timestep is 1.78867
662: Timestep is 1.78867
153: Timestep is 1.78867
479: Timestep is 1.78867
588: Timestep is 1.78867
34: Timestep is 1.78867
96: Timestep is 1.78867
922: Timestep is 1.78867
425: Timestep is 1.78867
733: Timestep is 1.78867
867: Timestep is 1.78867
220: Timestep is 1.78867
351: Timestep is 1.78867
805: Timestep is 1.78867
285: Timestep is 1.78867
547: Timestep is 1.78867
988: Timestep is 1.78867
663: Timestep is 1.78867
156: Timestep is 1.78867
481: Timestep is 1.78867
589: Timestep is 1.78867
35: Timestep is 1.78867
97: Timestep is 1.78867
924: Timestep is 1.78867
426: Timestep is 1.78867
734: Timestep is 1.78867
868: Timestep is 1.78867
221: Timestep is 1.78867
353: Timestep is 1.78867
806: Timestep is 1.78867
286: Timestep is 1.78867
548: Timestep is 1.78867
989: Timestep is 1.78867
665: Timestep is 1.78867
158: Timestep is 1.78867
482: Timestep is 1.78867
590: Timestep is 1.78867
36: Timestep is 1.78867
98: Timestep is 1.78867
925: Timestep is 1.78867
427: Timestep is 1.78867
735: Timestep is 1.78867
869: Timestep is 1.78867
225: Timestep is 1.78867
354: Timestep is 1.78867
807: Timestep is 1.78867
289: Timestep is 1.78867
550: Timestep is 1.78867
990: Timestep is 1.78867
667: Timestep is 1.78867
159: Timestep is 1.78867
484: Timestep is 1.78867
591: Timestep is 1.78867
37: Timestep is 1.78867
99: Timestep is 1.78867
926: Timestep is 1.78867
428: Timestep is 1.78867
737: Timestep is 1.78867
870: Timestep is 1.78867
226: Timestep is 1.78867
356: Timestep is 1.78867
808: Timestep is 1.78867
290: Timestep is 1.78867
551: Timestep is 1.78867
991: Timestep is 1.78867
668: Timestep is 1.78867
161: Timestep is 1.78867
485: Timestep is 1.78867
592: Timestep is 1.78867
39: Timestep is 1.78867
100: Timestep is 1.78867
928: Timestep is 1.78867
429: Timestep is 1.78867
739: Timestep is 1.78867
871: Timestep is 1.78867
227: Timestep is 1.78867
357: Timestep is 1.78867
809: Timestep is 1.78867
291: Timestep is 1.78867
553: Timestep is 1.78867
992: Timestep is 1.78867
669: Timestep is 1.78867
162: Timestep is 1.78867
486: Timestep is 1.78867
593: Timestep is 1.78867
40: Timestep is 1.78867
105: Timestep is 1.78867
930: Timestep is 1.78867
430: Timestep is 1.78867
740: Timestep is 1.78867
872: Timestep is 1.78867
228: Timestep is 1.78867
358: Timestep is 1.78867
810: Timestep is 1.78867
292: Timestep is 1.78867
554: Timestep is 1.78867
997: Timestep is 1.78867
671: Timestep is 1.78867
164: Timestep is 1.78867
488: Timestep is 1.78867
599: Timestep is 1.78867
42: Timestep is 1.78867
106: Timestep is 1.78867
931: Timestep is 1.78867
431: Timestep is 1.78867
741: Timestep is 1.78867
873: Timestep is 1.78867
231: Timestep is 1.78867
359: Timestep is 1.78867
811: Timestep is 1.78867
294: Timestep is 1.78867
555: Timestep is 1.78867
998: Timestep is 1.78867
673: Timestep is 1.78867
165: Timestep is 1.78867
490: Timestep is 1.78867
601: Timestep is 1.78867
43: Timestep is 1.78867
108: Timestep is 1.78867
932: Timestep is 1.78867
432: Timestep is 1.78867
742: Timestep is 1.78867
874: Timestep is 1.78867
232: Timestep is 1.78867
361: Timestep is 1.78867
812: Timestep is 1.78867
296: Timestep is 1.78867
557: Timestep is 1.78867
999: Timestep is 1.78867
674: Timestep is 1.78867
166: Timestep is 1.78867
491: Timestep is 1.78867
602: Timestep is 1.78867
45: Timestep is 1.78867
110: Timestep is 1.78867
934: Timestep is 1.78867
433: Timestep is 1.78867
745: Timestep is 1.78867
875: Timestep is 1.78867
233: Timestep is 1.78867
362: Timestep is 1.78867
813: Timestep is 1.78867
297: Timestep is 1.78867
559: Timestep is 1.78867
1001: Timestep is 1.78867
675: Timestep is 1.78867
167: Timestep is 1.78867
492: Timestep is 1.78867
604: Timestep is 1.78867
47: Timestep is 1.78867
111: Timestep is 1.78867
935: Timestep is 1.78867
434: Timestep is 1.78867
747: Timestep is 1.78867
876: Timestep is 1.78867
234: Timestep is 1.78867
363: Timestep is 1.78867
814: Timestep is 1.78867
298: Timestep is 1.78867
562: Timestep is 1.78867
1002: Timestep is 1.78867
677: Timestep is 1.78867
169: Timestep is 1.78867
494: Timestep is 1.78867
607: Timestep is 1.78867
48: Timestep is 1.78867
112: Timestep is 1.78867
936: Timestep is 1.78867
436: Timestep is 1.78867
748: Timestep is 1.78867
877: Timestep is 1.78867
237: Timestep is 1.78867
365: Timestep is 1.78867
815: Timestep is 1.78867
299: Timestep is 1.78867
563: Timestep is 1.78867
1003: Timestep is 1.78867
679: Timestep is 1.78867
170: Timestep is 1.78867
495: Timestep is 1.78867
611: Timestep is 1.78867
49: Timestep is 1.78867
113: Timestep is 1.78867
937: Timestep is 1.78867
437: Timestep is 1.78867
749: Timestep is 1.78867
878: Timestep is 1.78867
238: Timestep is 1.78867
366: Timestep is 1.78867
816: Timestep is 1.78867
303: Timestep is 1.78867
564: Timestep is 1.78867
1004: Timestep is 1.78867
681: Timestep is 1.78867
171: Timestep is 1.78867
496: Timestep is 1.78867
612: Timestep is 1.78867
50: Timestep is 1.78867
114: Timestep is 1.78867
940: Timestep is 1.78867
438: Timestep is 1.78867
751: Timestep is 1.78867
879: Timestep is 1.78867
241: Timestep is 1.78867
367: Timestep is 1.78867
817: Timestep is 1.78867
304: Timestep is 1.78867
565: Timestep is 1.78867
1007: Timestep is 1.78867
682: Timestep is 1.78867
172: Timestep is 1.78867
497: Timestep is 1.78867
614: Timestep is 1.78867
51: Timestep is 1.78867
116: Timestep is 1.78867
941: Timestep is 1.78867
439: Timestep is 1.78867
754: Timestep is 1.78867
880: Timestep is 1.78867
243: Timestep is 1.78867
368: Timestep is 1.78867
818: Timestep is 1.78867
305: Timestep is 1.78867
566: Timestep is 1.78867
1009: Timestep is 1.78867
684: Timestep is 1.78867
175: Timestep is 1.78867
498: Timestep is 1.78867
