0: output to qw.linear.o
Could not open qw.linear.config. Generating configurations from scratch
739: Timestep is 1.73085
1881: Timestep is 1.73085
1572: Timestep is 1.73085
1576: Timestep is 1.73085
178: Timestep is 1.73085
1064: Timestep is 1.73085
1579: Timestep is 1.73085
743: Timestep is 1.73085
520: Timestep is 1.73085
1885: Timestep is 1.73085
1103: Timestep is 1.73085
2082: Timestep is 1.73085
1581: Timestep is 1.73085
180: Timestep is 1.73085
1066: Timestep is 1.73085
1890: Timestep is 1.73085
1104: Timestep is 1.73085
744: Timestep is 1.73085
523: Timestep is 1.73085
184: Timestep is 1.73085
1067: Timestep is 1.73085
1893: Timestep is 1.73085
1105: Timestep is 1.73085
2083: Timestep is 1.73085
1587: Timestep is 1.73085
185: Timestep is 1.73085
1894: Timestep is 1.73085
1106: Timestep is 1.73085
2084: Timestep is 1.73085
1589: Timestep is 1.73085
751: Timestep is 1.73085
524: Timestep is 1.73085
187: Timestep is 1.73085
1069: Timestep is 1.73085
1107: Timestep is 1.73085
2096: Timestep is 1.73085
1591: Timestep is 1.73085
754: Timestep is 1.73085
528: Timestep is 1.73085
1108: Timestep is 1.73085
2103: Timestep is 1.73085
1597: Timestep is 1.73085
755: Timestep is 1.73085
1109: Timestep is 1.73085
1603: Timestep is 1.73085
189: Timestep is 1.73085
1071: Timestep is 1.73085
756: Timestep is 1.73085
536: Timestep is 1.73085
1086: Timestep is 1.73085
2108: Timestep is 1.73085
1608: Timestep is 1.73085
816: Timestep is 1.73085
763: Timestep is 1.73085
537: Timestep is 1.73085
194: Timestep is 1.73085
817: Timestep is 1.73085
818: Timestep is 1.73085
2113: Timestep is 1.73085
538: Timestep is 1.73085
766: Timestep is 1.73085
199: Timestep is 1.73085
1895: Timestep is 1.73085
1111: Timestep is 1.73085
2117: Timestep is 1.73085
1613: Timestep is 1.73085
273: Timestep is 1.73085
200: Timestep is 1.73085
820: Timestep is 1.73085
1901: Timestep is 1.73085
1114: Timestep is 1.73085
2121: Timestep is 1.73085
767: Timestep is 1.73085
202: Timestep is 1.73085
1903: Timestep is 1.73085
1116: Timestep is 1.73085
2123: Timestep is 1.73085
1624: Timestep is 1.73085
770: Timestep is 1.73085
274: Timestep is 1.73085
203: Timestep is 1.73085
826: Timestep is 1.73085
1633: Timestep is 1.73085
1117: Timestep is 1.73085
2126: Timestep is 1.73085
1625: Timestep is 1.73085
771: Timestep is 1.73085
276: Timestep is 1.73085
204: Timestep is 1.73085
1635: Timestep is 1.73085
1120: Timestep is 1.73085
2140: Timestep is 1.73085
1627: Timestep is 1.73085
774: Timestep is 1.73085
278: Timestep is 1.73085
1637: Timestep is 1.73085
1121: Timestep is 1.73085
1631: Timestep is 1.73085
205: Timestep is 1.73085
828: Timestep is 1.73085
1638: Timestep is 1.73085
1360: Timestep is 1.73085
778: Timestep is 1.73085
