0: output to qw.tmove.dmc.o
1320: Timestep is 1.15623161764706
1921: Timestep is 1.15623161764706
1857: Timestep is 1.15623161764706
1399: Timestep is 1.15623161764706
295: Timestep is 1.15623161764706
221: Timestep is 1.15623161764706
568: Timestep is 1.15623161764706
837: Timestep is 1.15623161764706
1922: Timestep is 1.15623161764706
1859: Timestep is 1.15623161764706
1400: Timestep is 1.15623161764706
296: Timestep is 1.15623161764706
1923: Timestep is 1.15623161764706
1860: Timestep is 1.15623161764706
1401: Timestep is 1.15623161764706
297: Timestep is 1.15623161764706
1322: Timestep is 1.15623161764706
1862: Timestep is 1.15623161764706
1402: Timestep is 1.15623161764706
298: Timestep is 1.15623161764706
223: Timestep is 1.15623161764706
569: Timestep is 1.15623161764706
1325: Timestep is 1.15623161764706
1863: Timestep is 1.15623161764706
1403: Timestep is 1.15623161764706
299: Timestep is 1.15623161764706
230: Timestep is 1.15623161764706
838: Timestep is 1.15623161764706
1326: Timestep is 1.15623161764706
1866: Timestep is 1.15623161764706
1404: Timestep is 1.15623161764706
231: Timestep is 1.15623161764706
571: Timestep is 1.15623161764706
1867: Timestep is 1.15623161764706
1407: Timestep is 1.15623161764706
572: Timestep is 1.15623161764706
1327: Timestep is 1.15623161764706
1868: Timestep is 1.15623161764706
237: Timestep is 1.15623161764706
839: Timestep is 1.15623161764706
1869: Timestep is 1.15623161764706
1408: Timestep is 1.15623161764706
573: Timestep is 1.15623161764706
1924: Timestep is 1.15623161764706
1871: Timestep is 1.15623161764706
1409: Timestep is 1.15623161764706
841: Timestep is 1.15623161764706
1332: Timestep is 1.15623161764706
1878: Timestep is 1.15623161764706
300: Timestep is 1.15623161764706
238: Timestep is 1.15623161764706
574: Timestep is 1.15623161764706
843: Timestep is 1.15623161764706
1333: Timestep is 1.15623161764706
1925: Timestep is 1.15623161764706
1882: Timestep is 1.15623161764706
1410: Timestep is 1.15623161764706
301: Timestep is 1.15623161764706
239: Timestep is 1.15623161764706
844: Timestep is 1.15623161764706
1336: Timestep is 1.15623161764706
1926: Timestep is 1.15623161764706
1411: Timestep is 1.15623161764706
302: Timestep is 1.15623161764706
252: Timestep is 1.15623161764706
575: Timestep is 1.15623161764706
845: Timestep is 1.15623161764706
1337: Timestep is 1.15623161764706
1927: Timestep is 1.15623161764706
1412: Timestep is 1.15623161764706
253: Timestep is 1.15623161764706
576: Timestep is 1.15623161764706
848: Timestep is 1.15623161764706
1928: Timestep is 1.15623161764706
1886: Timestep is 1.15623161764706
1413: Timestep is 1.15623161764706
303: Timestep is 1.15623161764706
254: Timestep is 1.15623161764706
577: Timestep is 1.15623161764706
1414: Timestep is 1.15623161764706
578: Timestep is 1.15623161764706
1: Timestep is 1.15623161764706
1338: Timestep is 1.15623161764706
1929: Timestep is 1.15623161764706
849: Timestep is 1.15623161764706
