0: output to qw.linear.o
Could not open qw.linear.config. Generating configurations from scratch
509: Timestep is 1.80565
1905: Timestep is 1.80565
29: Timestep is 1.80565
548: Timestep is 1.80565
1405: Timestep is 1.80565
1111: Timestep is 1.80565
832: Timestep is 1.80565
1707: Timestep is 1.80565
38: Timestep is 1.80565
550: Timestep is 1.80565
1412: Timestep is 1.80565
1112: Timestep is 1.80565
510: Timestep is 1.80565
1906: Timestep is 1.80565
39: Timestep is 1.80565
557: Timestep is 1.80565
1415: Timestep is 1.80565
1119: Timestep is 1.80565
521: Timestep is 1.80565
833: Timestep is 1.80565
1711: Timestep is 1.80565
45: Timestep is 1.80565
558: Timestep is 1.80565
1419: Timestep is 1.80565
1123: Timestep is 1.80565
537: Timestep is 1.80565
835: Timestep is 1.80565
1715: Timestep is 1.80565
46: Timestep is 1.80565
1126: Timestep is 1.80565
836: Timestep is 1.80565
1716: Timestep is 1.80565
48: Timestep is 1.80565
559: Timestep is 1.80565
1421: Timestep is 1.80565
1128: Timestep is 1.80565
542: Timestep is 1.80565
1908: Timestep is 1.80565
1426: Timestep is 1.80565
1719: Timestep is 1.80565
275: Timestep is 1.80565
1909: Timestep is 1.80565
1721: Timestep is 1.80565
562: Timestep is 1.80565
276: Timestep is 1.80565
1911: Timestep is 1.80565
1430: Timestep is 1.80565
1912: Timestep is 1.80565
1725: Timestep is 1.80565
281: Timestep is 1.80565
1913: Timestep is 1.80565
564: Timestep is 1.80565
1737: Timestep is 1.80565
1431: Timestep is 1.80565
1914: Timestep is 1.80565
53: Timestep is 1.80565
569: Timestep is 1.80565
1131: Timestep is 1.80565
282: Timestep is 1.80565
842: Timestep is 1.80565
1739: Timestep is 1.80565
54: Timestep is 1.80565
570: Timestep is 1.80565
1436: Timestep is 1.80565
1134: Timestep is 1.80565
283: Timestep is 1.80565
1915: Timestep is 1.80565
56: Timestep is 1.80565
571: Timestep is 1.80565
1441: Timestep is 1.80565
1139: Timestep is 1.80565
288: Timestep is 1.80565
843: Timestep is 1.80565
1747: Timestep is 1.80565
62: Timestep is 1.80565
573: Timestep is 1.80565
