0: output to qw.dmc.o
934: Timestep is 1.15784007352941
1839: Timestep is 1.15784007352941
668: Timestep is 1.15784007352941
92: Timestep is 1.15784007352941
1200: Timestep is 1.15784007352941
1843: Timestep is 1.15784007352941
669: Timestep is 1.15784007352941
2024: Timestep is 1.15784007352941
418: Timestep is 1.15784007352941
938: Timestep is 1.15784007352941
1474: Timestep is 1.15784007352941
96: Timestep is 1.15784007352941
419: Timestep is 1.15784007352941
1203: Timestep is 1.15784007352941
1849: Timestep is 1.15784007352941
670: Timestep is 1.15784007352941
100: Timestep is 1.15784007352941
2026: Timestep is 1.15784007352941
941: Timestep is 1.15784007352941
1476: Timestep is 1.15784007352941
1858: Timestep is 1.15784007352941
678: Timestep is 1.15784007352941
426: Timestep is 1.15784007352941
1209: Timestep is 1.15784007352941
684: Timestep is 1.15784007352941
2027: Timestep is 1.15784007352941
427: Timestep is 1.15784007352941
943: Timestep is 1.15784007352941
1210: Timestep is 1.15784007352941
1477: Timestep is 1.15784007352941
688: Timestep is 1.15784007352941
2028: Timestep is 1.15784007352941
431: Timestep is 1.15784007352941
944: Timestep is 1.15784007352941
1211: Timestep is 1.15784007352941
1865: Timestep is 1.15784007352941
101: Timestep is 1.15784007352941
2032: Timestep is 1.15784007352941
433: Timestep is 1.15784007352941
945: Timestep is 1.15784007352941
1212: Timestep is 1.15784007352941
1478: Timestep is 1.15784007352941
1871: Timestep is 1.15784007352941
103: Timestep is 1.15784007352941
435: Timestep is 1.15784007352941
1874: Timestep is 1.15784007352941
104: Timestep is 1.15784007352941
2037: Timestep is 1.15784007352941
438: Timestep is 1.15784007352941
950: Timestep is 1.15784007352941
1216: Timestep is 1.15784007352941
1479: Timestep is 1.15784007352941
1875: Timestep is 1.15784007352941
705: Timestep is 1.15784007352941
105: Timestep is 1.15784007352941
440: Timestep is 1.15784007352941
958: Timestep is 1.15784007352941
1217: Timestep is 1.15784007352941
1480: Timestep is 1.15784007352941
106: Timestep is 1.15784007352941
968: Timestep is 1.15784007352941
1484: Timestep is 1.15784007352941
1886: Timestep is 1.15784007352941
445: Timestep is 1.15784007352941
969: Timestep is 1.15784007352941
1219: Timestep is 1.15784007352941
1485: Timestep is 1.15784007352941
107: Timestep is 1.15784007352941
2039: Timestep is 1.15784007352941
714: Timestep is 1.15784007352941
1887: Timestep is 1.15784007352941
115: Timestep is 1.15784007352941
2050: Timestep is 1.15784007352941
447: Timestep is 1.15784007352941
970: Timestep is 1.15784007352941
1228: Timestep is 1.15784007352941
1488: Timestep is 1.15784007352941
1888: Timestep is 1.15784007352941
716: Timestep is 1.15784007352941
2052: Timestep is 1.15784007352941
448: Timestep is 1.15784007352941
720: Timestep is 1.15784007352941
2056: Timestep is 1.15784007352941
971: Timestep is 1.15784007352941
1232: Timestep is 1.15784007352941
1489: Timestep is 1.15784007352941
722: Timestep is 1.15784007352941
2060: Timestep is 1.15784007352941
1234: Timestep is 1.15784007352941
747: Timestep is 1.15784007352941
754: Timestep is 1.15784007352941
1895: Timestep is 1.15784007352941
117: Timestep is 1.15784007352941
2062: Timestep is 1.15784007352941
451: Timestep is 1.15784007352941
978: Timestep is 1.15784007352941
1492: Timestep is 1.15784007352941
1898: Timestep is 1.15784007352941
118: Timestep is 1.15784007352941
120: Timestep is 1.15784007352941
457: Timestep is 1.15784007352941
993: Timestep is 1.15784007352941
1493: Timestep is 1.15784007352941
121: Timestep is 1.15784007352941
2065: Timestep is 1.15784007352941
995: Timestep is 1.15784007352941
1494: Timestep is 1.15784007352941
1633: Timestep is 1.15784007352941
758: Timestep is 1.15784007352941
